week,topic,question,choices,answer,explanation,difficulty
1,"회계의 목적","회계의 주된 목적은 무엇인가?","A. 세금을 줄이기 위해서만 존재한다 | B. 의사결정을 위한 유용한 정보를 제공하기 위해 | C. 범죄 수사를 위해 | D. 직원 감시를 위해","B","회계는 기업의 경제적 활동을 기록·보고하여 이해관계자의 의사결정에 도움을 주는 정보 시스템이다.","easy"
1,"회계 정보 이용자","다음 중 회계정보의 외부 이용자에 해당하지 않는 사람은 누구인가?","A. 투자자 | B. 채권자 | C. 회사 내부 경영자 | D. 정부","C","외부 이용자는 기업 외부의 이해관계자이며, 내부 경영자는 내부 정보(관리회계)를 사용한다.","medium"
1,"회계의 종류","재무회계(financial accounting)와 관리회계(managerial accounting)의 가장 큰 차이는?","A. 사용하는 숫자의 단위 | B. 외부보고 여부 | C. 화폐 단위 사용 여부 | D. 기업 규모","B","재무회계는 외부보고용, 관리회계는 내부 의사결정용이다.","easy"
1,"재무제표","재무제표는 왜 필요한가?","","","재무제표는 기업의 재무상태와 성과를 요약하여 이해관계자들이 판단할 수 있게 해준다.","easy"
1,"회계 정의","회계란 무엇인가?","","","경제적 사건을 측정하고 전달하는 정보 시스템이다.","easy"
1,"회계 정보","왜 '내가 이해할 수 있는' 정보가 중요하다고 했을까?","","","정보는 이용자가 이해할 수 있어야 의사결정에 유용하기 때문이다.","medium"
2,"자산 부채 자본","자산(Assets)에 대한 설명으로 가장 정확한 것은?","A. 회사가 앞으로 갚아야 할 의무 | B. 회사가 통제하고 있고 미래에 경제적 효익을 줄 것으로 기대되는 자원 | C. 주주의 지분 | D. 회사의 매출","B","자산은 회사가 통제하며 미래에 현금흐름 등 경제적 효익을 가져올 자원이다.","easy"
2,"자산 부채 자본","부채(Liabilities)의 의미는?","A. 회사의 매출 | B. 기업이 통제하고 있는 자원 | C. 타인(외부자)이 청구권을 가지는 몫 | D. 자산의 총합","C","부채는 미래에 갚아야 할 의무로서, 타인의 청구권을 의미한다.","easy"
2,"자산 부채 자본","자본(Equity)이란 무엇인가?","A. 회사의 매출 총액 | B. 회사가 보유한 모든 현금 | C. 자산 중 부채를 제외한 주주의 몫 | D. 회계기간의 비용","C","자본은 자산에서 부채를 뺀 나머지, 즉 주주의 잔여지분이다.","easy"
2,"기본등식","회계의 기본 등식은 무엇인가?","A. 자산 = 부채 - 자본 | B. 자산 = 부채 + 자본 | C. 자본 = 자산 + 부채 | D. 자산 = 수익 - 비용","B","기업의 자산은 부채와 자본의 합으로 조달된다는 원리를 나타낸다.","easy"
3,"수익과 비용","수익(Revenue)의 정의는 무엇인가?","","","회사가 상품이나 서비스를 제공함으로써 얻는 경제적 효익의 유입이다.","easy"
3,"수익과 비용","비용(Expense)이란 무엇인가?","","","수익을 얻기 위해 사용되거나 소모된 자원의 가치이다.","easy"
3,"기간손익","손익계산서의 목적은 무엇인가?","","","기업의 일정 기간 동안의 경영성과(수익-비용)를 보여준다.","medium"
3,"재무상태표","재무상태표(balance sheet)는 무엇을 보여주는가?","","","특정 시점의 자산, 부채, 자본의 잔액을 보여준다.","easy"
4,"발생주의 회계","발생주의 회계의 핵심 개념은 무엇인가?","","","현금의 수수가 아니라 거래가 발생한 시점에 인식한다는 원칙이다.","medium"
4,"현금주의 회계","현금주의 회계는 언제 인식하는가?","","","현금이 실제로 수취되거나 지급될 때 인식한다.","medium"
4,"발생주의와 현금주의 비교","발생주의 회계와 현금주의 회계의 차이는?","","","발생주의는 거래 발생 시점 기준, 현금주의는 현금 이동 시점 기준이다.","medium"
5,"선급비용","선급비용이란 무엇인가?","","","미리 지급했지만 아직 비용으로 인식되지 않은 자산이다.","easy"
5,"미지급비용","미지급비용은 어떤 계정인가?","","","이미 비용이 발생했지만 아직 지급되지 않은 부채이다.","easy"
5,"선수수익","선수수익의 의미는?","","","미리 받은 돈으로, 아직 수익으로 인식되지 않은 부채이다.","easy"
5,"미수수익","미수수익이란 무엇인가?","","","이미 수익이 발생했지만 아직 현금으로 받지 못한 자산이다.","easy"
6,"회계정보의 질적 특성","회계정보의 대표적인 질적 특성은 무엇인가?","A. 정확성 | B. 적시성 | C. 신뢰성 | D. 비교가능성","C","신뢰성, 관련성, 비교가능성, 이해가능성 등이 대표적인 질적 특성이다.","medium"
6,"회계정보의 비교가능성","비교가능성이 중요한 이유는 무엇인가?","","","시간적·기업 간 비교를 통해 의사결정에 도움을 주기 때문이다.","medium"
6,"회계정보의 적시성","적시성이란 무엇인가?","","","정보가 제때 제공되어야 가치가 있다는 의미이다.","easy"
7,"감가상각","감가상각이란 무엇인가?","","","유형자산의 사용에 따라 가치가 점차 감소하는 것을 비용으로 인식하는 과정이다.","medium"
7,"유형자산","유형자산의 대표적인 예시는?","A. 현금 | B. 매출채권 | C. 기계장치 | D. 상품","C","건물, 기계장치, 차량운반구 등 물리적 형태가 있는 자산이다.","easy"
7,"무형자산","무형자산의 대표적인 예시는?","A. 특허권 | B. 토지 | C. 건물 | D. 상품","A","무형자산은 물리적 실체가 없지만 경제적 가치를 지닌 자산이다. 예: 특허권, 상표권 등.","easy"
8,"재고자산","재고자산의 의미는 무엇인가?","","","판매를 위해 보유하거나 생산 중인 자산이다.","medium"
8,"매출채권","매출채권은 어떤 계정인가?","","","상품을 외상으로 판매하여 아직 회수하지 못한 금액이다. 즉, 외상매출금이다.","easy"
8,"매입채무","매입채무는 어떤 계정인가?","","","상품을 외상으로 매입하고 아직 지급하지 않은 금액이다.","easy"
9,"현금흐름표","현금흐름표는 왜 필요한가?","","","기업의 현금 유입과 유출을 구분하여 현금창출능력을 보여준다.","medium"
9,"운영활동현금흐름","운영활동현금흐름의 대표적인 항목은?","","","상품 판매, 급여 지급 등 영업과 직접 관련된 현금흐름이다.","easy"
9,"투자활동현금흐름","투자활동현금흐름은 무엇을 의미하는가?","","","유형자산 취득이나 매각 등 장기자산 관련 현금흐름이다.","medium"
9,"재무활동현금흐름","재무활동현금흐름의 의미는?","","","차입, 주식발행, 배당 등 자본 조달과 관련된 현금흐름이다.","medium"
10,"회계윤리","회계윤리가 중요한 이유는 무엇인가?","","","회계정보의 신뢰성을 유지하고 사회적 책임을 다하기 위함이다.","medium"
10,"부정회계","부정회계 사례로 옳지 않은 것은?","A. 매출 부풀리기 | B. 비용 누락 | C. 정확한 보고 | D. 허위 매출","C","정확한 보고는 올바른 회계처리이므로 부정회계가 아니다.","easy"
10,"내부통제","내부통제의 목적은 무엇인가?","","","재무정보의 신뢰성과 자산의 안전성을 확보하기 위함이다.","medium"
